2026-03-21 01:17:51,347 | INFO | database | FACE_REGISTERED face_id=ac02e2ff
2026-03-21 01:17:51,347 | INFO | face_registry | REGISTERED face_id=ac02e2ff total=6
2026-03-21 01:17:51,893 | INFO | face_detector | DETECTED count=5 frame_shape=1520x2688
2026-03-21 01:17:52,316 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=396.9
2026-03-21 01:17:52,316 | INFO | face_registry | REID_DECISION frame=75 best_sim=0.2740 second_sim=0.2653 threshold=0.6200 decision=NEW
2026-03-21 01:17:52,318 | INFO | database | FACE_REGISTERED face_id=2ee81d1a
2026-03-21 01:17:52,318 | INFO | face_registry | REGISTERED face_id=2ee81d1a total=7
2026-03-21 01:17:53,073 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=337.8
2026-03-21 01:17:53,075 | INFO | face_registry | REID_DECISION frame=75 best_sim=0.2320 second_sim=0.1985 threshold=0.6200 decision=NEW
2026-03-21 01:17:53,077 | INFO | database | FACE_REGISTERED face_id=85c617a2
2026-03-21 01:17:53,077 | INFO | face_registry | REGISTERED face_id=85c617a2 total=8
2026-03-21 01:17:53,697 | INFO | face_detector | DETECTED count=2 frame_shape=1520x2688
2026-03-21 01:17:54,073 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=368.4
2026-03-21 01:17:54,073 | INFO | face_registry | REID_DECISION frame=78 best_sim=0.4092 second_sim=0.3934 threshold=0.6200 decision=NEW
2026-03-21 01:17:54,077 | INFO | database | FACE_REGISTERED face_id=70f205fc
2026-03-21 01:17:54,077 | INFO | face_registry | REGISTERED face_id=70f205fc total=9
2026-03-21 01:17:54,630 | INFO | face_detector | DETECTED count=3 frame_shape=1520x2688
2026-03-21 01:17:55,054 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=348.8
2026-03-21 01:17:55,054 | INFO | face_registry | REID_DECISION frame=81 best_sim=0.4946 second_sim=0.3883 threshold=0.6200 decision=NEW
2026-03-21 01:17:55,056 | INFO | database | FACE_REGISTERED face_id=b5ea0a4b
2026-03-21 01:17:55,056 | INFO | face_registry | REGISTERED face_id=b5ea0a4b total=10
2026-03-21 01:17:55,574 | INFO | face_detector | DETECTED count=2 frame_shape=1520x2688
2026-03-21 01:17:55,930 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=339.3
2026-03-21 01:17:55,930 | INFO | face_registry | REID_DECISION frame=84 best_sim=0.6735 second_sim=0.5370 threshold=0.6200 decision=MATCH
2026-03-21 01:17:55,930 | INFO | face_registry | REID_MATCH face_id=b5ea0a4b sim=0.6735
2026-03-21 01:17:56,324 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=388.0
2026-03-21 01:17:56,324 | INFO | face_registry | REID_DECISION frame=84 best_sim=0.2308 second_sim=0.1589 threshold=0.6200 decision=NEW
2026-03-21 01:17:56,327 | INFO | database | FACE_REGISTERED face_id=0de14d55
2026-03-21 01:17:56,327 | INFO | face_registry | REGISTERED face_id=0de14d55 total=11
2026-03-21 01:17:57,033 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:57,035 | INFO | pipeline | TRACKS_DEBUG frame=90 detections=1 tracks=1
2026-03-21 01:17:57,035 | INFO | visitor_counter | UNIQUE_VISITORS total=11 today=1 inside=1 frame=90
2026-03-21 01:17:57,998 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:58,220 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:58,450 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:58,450 | INFO | pipeline | TRACKS_DEBUG frame=120 detections=1 tracks=1
2026-03-21 01:17:58,531 | INFO | image_store | IMAGE_SAVED path=logs\exits\2026-03-21\b8b66a15_20260321_011758.jpg size=271x507
2026-03-21 01:17:58,531 | INFO | event_logger | EXIT face_id=b8b66a15 frame=120 trigger=max_lost_frames dwell_secs=14.0
2026-03-21 01:17:58,534 | INFO | visitor_counter | UNIQUE_VISITORS total=11 today=1 inside=1 frame=120
2026-03-21 01:17:58,679 | INFO | face_detector | DETECTED count=2 frame_shape=1520x2688
2026-03-21 01:17:59,019 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:59,301 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:17:59,698 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=380.0
2026-03-21 01:17:59,698 | INFO | face_registry | REID_DECISION frame=129 best_sim=0.2658 second_sim=0.2610 threshold=0.6200 decision=NEW
2026-03-21 01:17:59,701 | INFO | database | FACE_REGISTERED face_id=7238529c
2026-03-21 01:17:59,701 | INFO | face_registry | REGISTERED face_id=7238529c total=12
2026-03-21 01:18:00,240 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:00,447 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:00,650 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:00,851 | INFO | face_detector | DETECTED count=2 frame_shape=1520x2688
2026-03-21 01:18:01,299 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=374.7
2026-03-21 01:18:01,299 | INFO | face_registry | REID_DECISION frame=141 best_sim=0.5145 second_sim=0.4299 threshold=0.6200 decision=NEW
2026-03-21 01:18:01,301 | INFO | database | FACE_REGISTERED face_id=ed79b209
2026-03-21 01:18:01,301 | INFO | face_registry | REGISTERED face_id=ed79b209 total=13
2026-03-21 01:18:02,123 | INFO | pipeline | TRACKS_DEBUG frame=150 detections=0 tracks=0
2026-03-21 01:18:02,125 | INFO | visitor_counter | UNIQUE_VISITORS total=13 today=1 inside=0 frame=150
2026-03-21 01:18:02,394 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:03,456 | INFO | pipeline | TRACKS_DEBUG frame=180 detections=0 tracks=0
2026-03-21 01:18:03,456 | INFO | visitor_counter | UNIQUE_VISITORS total=13 today=1 inside=0 frame=180
2026-03-21 01:18:04,027 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:04,908 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:04,909 | INFO | pipeline | TRACKS_DEBUG frame=210 detections=1 tracks=1
2026-03-21 01:18:04,993 | INFO | visitor_counter | UNIQUE_VISITORS total=13 today=1 inside=0 frame=210
2026-03-21 01:18:05,142 | INFO | face_detector | DETECTED count=1 frame_shape=1520x2688
2026-03-21 01:18:05,375 | INFO | face_detector | DETECTED count=2 frame_shape=1520x2688
2026-03-21 01:18:05,743 | INFO | face_detector | DETECTED count=3 frame_shape=1520x2688
2026-03-21 01:18:06,218 | INFO | face_embedder | EMBEDDING_GENERATED shape=512 time_ms=381.1
2026-03-21 01:18:06,218 | INFO | face_registry | REID_DECISION frame=219 best_sim=0.4847 second_sim=0.4141 threshold=0.6200 decision=NEW
